Pipistrellus pygmaeus,0.688,0.695,0.0445,0.0516,,9a5cff50-5750-4241-982a-e5bb0497ae18
Pipistrellus pygmaeus,0.691,0.697,0.1245,0.1308,,0aecdf8d-4d79-4555-aef5-8cc4e7a7fdf0
Pipistrellus pygmaeus,0.627,0.631,0.2675,0.2734,,a1591e33-dc2d-4928-89b9-5242dd906c82
Pipistrellus pygmaeus,0.735,0.74,0.3475,0.3551,,0ce0e298-ab51-4aba-977f-f7b2ec6a73ec
Pipistrellus pygmaeus,0.67,0.674,0.4295,0.4367,,7d66847e-3986-4073-9825-e81bb3a6ce59
Pipistrellus pygmaeus,0.695,0.699,0.5135,0.521,,e821cca2-1f26-425d-9dc8-cbbef86c8775
Pipistrellus pygmaeus,0.64,0.646,0.5985,0.6087,,543c481e-0273-4018-b404-d3a73e9d41c9
Pipistrellus pygmaeus,0.625,0.63,0.6805,0.6873,,44cff161-f6b2-4199-806a-e8d8c1f3ebdd
Pipistrellus pygmaeus,0.613,0.628,0.8445,0.8518,,fd83186e-d99f-4959-ba10-6b873c990c3e
Pipistrellus pygmaeus,0.659,0.668,0.9265,0.9324,,87cdb99f-a270-4b59-aaae-66fe69fcc1e9
Pipistrellus pygmaeus,0.634,0.64,1.0085,1.0148,,a8a53b26-263a-4011-8336-a1cfda5f8c77
Pipistrellus pygmaeus,0.657,0.665,1.0805,1.0862,,8df9f7b7-fc95-4ce1-9e70-9420732786df
Pipistrellus pygmaeus,0.653,0.667,1.1435,1.1498,,fa2bf1a4-860e-49cd-bff2-57c116768fa4
Pipistrellus pygmaeus,0.61,0.624,1.7705,1.7786,,3fa0f9c9-ae08-45ef-bdb7-cb65ca8a5cd7
Pipistrellus pygmaeus,0.61,0.618,2.6885,2.6959,,917524f5-abe8-4d4e-bdd3-a31820f7a3ba
Pipistrellus pygmaeus,0.722,0.73,0.2955,0.301,,99193b8f-d891-449d-970c-70a0179feaf6
Pipistrellus pygmaeus,0.66,0.664,0.3565,0.363,,7770f810-7786-4830-ad7e-df73d10c52b0
Pipistrellus pygmaeus,0.742,0.753,0.4165,0.4232,,aa8b36eb-024b-45a1-a676-2d5bc20125be
Pipistrellus pygmaeus,0.641,0.655,0.4755,0.4822,,0107890c-1ba7-48ff-bc97-cd1bcc01e007
Pipistrellus pygmaeus,0.712,0.729,0.5375,0.5437,,ad3a51c1-30a9-4cda-a0cf-5a26d59acb14
Pipistrellus pygmaeus,0.687,0.693,0.5965,0.6023,,154c692b-2147-47e9-ba80-5241621011b2
Pipistrellus pygmaeus,0.686,0.705,0.6995,0.7058,,c177a5d2-491c-4581-b746-ca1a46da5a32
Pipistrellus pygmaeus,0.793,0.8,0.7695,0.7752,,ddb5be08-5081-4404-bca3-2827dfc8c4c8
Pipistrellus pygmaeus,0.715,0.721,0.8345,0.8395,,d99834ac-54dc-4d4b-94f7-4a026ddae4fd
Pipistrellus pygmaeus,0.647,0.655,0.8945,0.8997,,45824d4b-de2e-43d1-9625-c6efec15c861
