Pipistrellus pygmaeus,0.747,0.748,0.0665,0.0718,,58695d7a-d9ba-43db-b007-a47bf1a87d8b
Pipistrellus pygmaeus,0.752,0.755,0.1315,0.1379,,bdd6df74-1a0e-47fb-a839-fee35bad1b26
Pipistrellus pygmaeus,0.748,0.75,0.2075,0.2134,,d36ebdfc-d8f1-4d9a-9208-1de6d8588143
Pipistrellus pygmaeus,0.768,0.77,0.2875,0.292,,4c06cbd2-144f-41b1-a359-9a19b1fd28e2
Pipistrellus pygmaeus,0.776,0.779,0.3665,0.3721,,8d620b9e-d7a3-4960-9997-fc923d771dbe
Pipistrellus pygmaeus,0.784,0.786,0.4535,0.4592,,c4a59528-2f49-465e-b91b-610b4c4f5c9c
Pipistrellus pygmaeus,0.81,0.815,0.5355,0.5416,,e8a26112-7572-494d-a7bb-e1ace501a4a8
Pipistrellus pygmaeus,0.761,0.764,0.6195,0.6256,,52ff572e-2170-4295-af51-bfa1cec16b33
Pipistrellus pygmaeus,0.821,0.824,0.7015,0.7075,,7dc8400f-a305-4dbe-8ec9-6a62f5ea1b7c
Pipistrellus pygmaeus,0.836,0.84,0.7775,0.783,,b8a1feb5-6d95-4f5b-80ed-a688e28702f0
Pipistrellus pygmaeus,0.666,0.669,0.8525,0.8585,,942f9dc3-a308-4c81-9e86-863afdf6cae2
Pipistrellus pygmaeus,0.808,0.813,0.9295,0.9348,,d8912970-bc96-48f0-b4cd-8098da6fb2af
Pipistrellus pygmaeus,0.706,0.709,1.0125,1.018,,9429d9f4-7cab-40ed-9857-6759d3a6bd6a
Pipistrellus pygmaeus,0.794,0.799,1.0945,1.1006,,32ec7402-dc43-499f-9850-584f5669ddcb
Pipistrellus pygmaeus,0.743,0.744,1.1655,1.1712,,2e52fd79-4219-46ba-a245-cb961d480f51
Pipistrellus pygmaeus,0.817,0.818,1.2405,1.2459,,e2e34f6b-e47c-4982-99a1-cfb2e7e8bd3d
Pipistrellus pygmaeus,0.6,0.602,1.3215,1.326,,739dede0-3ebd-4cc2-9e85-b474f18b6dad
Pipistrellus pygmaeus,0.799,0.801,1.3995,1.405,,38da2b77-b9a7-419b-9b97-17c0a4aa12ff
Pipistrellus pygmaeus,0.815,0.818,1.5345,1.5409,,4c0c09b4-b126-4293-88d9-a69c4f29e69b
Pipistrellus pygmaeus,0.82,0.822,1.6135,1.6205,,e8e5288d-4f7f-4d8e-98ae-5767d892c7f7
Pipistrellus pygmaeus,0.811,0.812,1.6855,1.692,,2d7e8975-588d-41af-a71f-992fd2f0d0b9
Pipistrellus pygmaeus,0.763,0.765,1.8395,1.8465,,9c394b69-e88c-4e97-a263-7045542e5950
Pipistrellus pygmaeus,0.75,0.751,1.9965,2.0022,,29521305-fedb-455f-981d-e1c20f45ee0d
Pipistrellus pygmaeus,0.689,0.692,2.0795,2.0864,,af5ddcde-6c7e-4972-9c97-6b405e03b416
Pipistrellus pygmaeus,0.765,0.767,2.1665,2.1732,,690df1e2-20d5-4517-be12-6c5dcb8ae5a5
