Pipistrellus pipistrellus,0.711,0.753,0.0455,0.0511,,c4463117-3376-46dd-bdfc-e7dd8ae5ea8c
Pipistrellus pipistrellus,0.666,0.806,0.1065,0.1137,,14264e4e-795e-4fc3-b4df-17dd1f25a473
Pipistrellus pipistrellus,0.635,0.772,0.1955,0.2028,,1913ded6-bd7c-493c-a5d5-c6067512991d
Pipistrellus pipistrellus,0.69,0.807,0.2755,0.2826,,62b79e00-0adb-410b-b4ba-b7105e6cd5dd
Pipistrellus pipistrellus,0.711,0.788,0.3725,0.3801,,c66cc3e1-d3b1-4a1c-9516-6b47f0e58fc4
Pipistrellus pipistrellus,0.741,0.819,0.4565,0.4629,,52858b80-33e5-43c9-a333-903b4d5fcb5c
Pipistrellus pipistrellus,0.628,0.721,0.8325,0.8402,,cb220655-55f5-4b68-a17e-b2d38061bf5d
Pipistrellus pipistrellus,0.629,0.723,1.0325,1.0399,,c0a33321-9920-443b-b537-27b601b58144
Rhinolophus hipposideros,0.666,0.666,0.8525,0.8947,,fd6e56ac-0f3d-4495-a53b-35c880763247
Rhinolophus hipposideros,0.609,0.609,1.1645,1.2085,,c7d7c846-b3a3-4fb8-a5fd-eaa4c8c8a9e9
Rhinolophus hipposideros,0.62,0.62,0.2985,0.3319,,87ad79ca-0c07-4b82-82de-5b2874289c5d
Rhinolophus hipposideros,0.639,0.639,0.6255,0.6608,,ca1ff5ac-775c-47ee-846a-7b0477fa0e5a
Rhinolophus hipposideros,0.61,0.61,0.6505,0.672,,2404e417-8d27-451c-b637-c410e60af77f
Rhinolophus hipposideros,0.619,0.619,0.7035,0.743,,d5f09e1e-66f2-44a8-b12e-69810c4926d4
Rhinolophus hipposideros,0.604,0.604,1.0055,1.0347,,bb181dd0-b48b-45cb-9f10-a29ff7cf7ca3
Rhinolophus hipposideros,0.621,0.621,1.5865,1.616,,b6b8ad61-55bf-4833-912e-386acd7baece
Rhinolophus hipposideros,0.61,0.61,1.7275,1.7541,,7fba4485-f234-40f0-bdee-dc6aefd76f6d
Rhinolophus hipposideros,0.664,0.664,2.0045,2.0409,,17106c5f-9016-4b48-8024-e2386d14a6b6
