Pipistrellus pipistrellus,0.511,0.529,0.8575,0.8674,,0d7d1a59-4085-46fa-b4ea-eea1b9cf2880
Pipistrellus pipistrellus,0.522,0.608,1.0645,1.0758,,ce85fbe8-0f0c-460b-968b-3ea0953ce91d
Pipistrellus pipistrellus,0.504,0.556,1.4275,1.4344,,97cc4edc-93c6-4ea1-93b4-8178c87060e0
Pipistrellus pipistrellus,0.549,0.608,2.0605,2.0679,,8529d754-1bc7-4275-b185-3c6106a92eed
Pipistrellus pipistrellus,0.531,0.547,2.1835,2.1987,,4467f3a5-9dca-4ca5-9d00-16f933a8f68a
Pipistrellus pipistrellus,0.517,0.566,2.3615,2.3724,,81778618-d26e-46d6-a75a-06666bbebc51
Pipistrellus pipistrellus,0.721,0.736,0.1675,0.1776,,22a10fe5-303f-4bb0-809b-c15a72ff8215
Pipistrellus pipistrellus,0.572,0.579,0.4455,0.4523,,78e1433d-9d2c-477b-b155-97031c6a4e74
Pipistrellus pipistrellus,0.614,0.618,0.5145,0.5199,,0fcb2c75-08a8-497b-9cd1-77d9a719db7e
Pipistrellus pipistrellus,0.649,0.656,0.5765,0.582,,36dc0a31-4c37-406c-80d9-d5a79c3cf933
Pipistrellus pipistrellus,0.754,0.769,0.9845,0.994,,7b6ab54b-a206-4d1c-8536-bc574e7aa73b
Pipistrellus pipistrellus,0.737,0.819,1.0695,1.0781,,9ac24bf5-9778-430b-8729-3457a3942826
Pipistrellus pipistrellus,0.732,0.742,1.1625,1.1695,,2498751e-5027-4f60-b4f1-c78bd4b5c385
Pipistrellus pipistrellus,0.76,0.767,1.2525,1.2596,,ea951e54-2af0-42ed-b22d-3f7617e60756
Pipistrellus pipistrellus,0.813,0.818,1.3465,1.3536,,09046a3d-322f-4993-9e00-665d1026bf1e
Pipistrellus pipistrellus,0.65,0.657,1.5085,1.5144,,f8b6cab5-019c-40d3-86d9-a4bac1d31085
Pipistrellus pipistrellus,0.754,0.757,1.6075,1.6142,,c8cdb861-ddce-4a97-a5c9-ba8daf1b5704
Pipistrellus pipistrellus,0.751,0.772,1.6935,1.7009,,a1cfd993-dc51-48b1-8e2b-d6f545250619
Pipistrellus pipistrellus,0.746,0.752,1.7915,1.798,,213764f3-5960-4643-bcbc-ca9e4fb042f9
